!EPack|Epack|Epack
.gcc_except_table|compiler|mingw/cygwin
.gcc_exc|compiler|mingw/cygwin
.gentee|installer|Gentee installer
.gfids|compiler|section added by new Visual Studio (14.0)
.giats|compiler|section added by new Visual Studio (14.0)
.gljmp|compiler|section added by new Visual Studio (14.0)
.glue_7t|compiler|ARMv7 core glue functions (thumb mode)
.glue_7t|compiler|mingw/cygwin
.glue_7|compiler|ARMv7 core glue functions (32-bit ARM mode)
.glue_7|compiler|mingw/cygwin
.icon|demos|possibly an icon resource
.idata$2|compiler|mingw/cygwin
.idata$3|compiler|mingw/cygwin
.idata$4|compiler|mingw/cygwin
.idata$5|compiler|mingw/cygwin
.idata$6|compiler|mingw/cygwin
.idata$7|compiler|mingw/cygwin
.idata|compiler|Initialized Data Section  (Borland)
.idata|compiler|mingw/cygwin
.idlsym|compiler|IDL Attributes (registered SEH)
.impdata|compiler|Alternative Import data section
.import|compiler|Alternative Import data section
.imrsiv|tool|special section used for applications that can be loaded to OS desktop bands.
.intro|demos|
.itext|compiler|Code Section (Borland)
.load|demos|
.mackt|tool|ImpRec-created section
.mnbvcx1|loader|most likely associated with Firseria PUP downloaders
.mnbvcx2|loader|most likely associated with Firseria PUP downloaders
.mydata|demos|
.ndata|installer|Nullsoft Installer section
.neolite|packer|Neolite
.neolit|packer|Neolite
.nsp0|packer|NsPack
.nsp1|packer|NsPack
.nsp2|packer|NsPack
.orpc|compiler|Code section inside rpcrt4.dll
.packed|packer|RLPack
.packed|packer|Unknown Packer
.pdata|compiler|Exception Handling Functions Section (PDATA records)
.perplex|protector|ACProtect
.perplex|protector|Perplex
.petite|packer|Petite
.pe|demos|possibly PE file
.pinclie|tool|Added by the PIN tool
.pklstb|demos|
.profile|tool|NightHawk C2 framework (by MDSec)
.rdata|compiler|Read-only initialized Data Section  (MS and Borland)
.relo2|demos|
.reloc|compiler|Relocations Section
.rmnet|virus|Ramnit virus marker
.rodata|compiler|Read-only Data Section
.rsrc A|demos|possibly variant of resource section
.rsrc|compiler|Resource section
.sCe!05|demos|Scienide group
.sbss|compiler|GP-relative Uninitialized Data Section
.script|compiler|Section containing script
.sdata|compiler|GP-relative Initialized Data Section
.seau|sfx|SeauSFX
.sforce3|protector|StarForce
.shared|compiler|Shared section
.shrink1|protector|Shrinker
.shrink2|protector|Shrinker
.shrink3|protector|Shrinker
.spack|packer|Simple Pack (by bagie)
.srdata|compiler|GP-relative Read-only Data Section
.stabstr|compiler|Created by Haskell compiler (GHC)
.stabstr|compiler|mingw/cygwin
.stab|compiler|Created by Haskell compiler (GHC)
.stab|compiler|mingw/cygwin
.svkp|protector|SVKP
.sxdata|compiler|Registered Exception Handlers Section
.taz|protector|Some version os PESpin
.text0|compiler|Alternative Code Section
.text1|compiler|Alternative Code Section
.text2|compiler|Alternative Code Section
.text3|compiler|Alternative Code Section
.textbss|compiler|Section used by incremental linking
.text|compiler|Code Section
.tls$|compiler|Thread Local Storage Section
.tls|compiler|Thread Local Storage Section
.trace|demos|
.tsuarch|loader|TSULoader
.tsustub|loader|TSULoader
.udata|compiler|Uninitialized Data Section
.vmp0|protector|VMProtect
.vmp1|protector|VMProtect
.vmp2|protector|VMProtect
.vsdata|compiler|GP-relative Initialized Data
.wavefmt|demos|
.wavehdr|demos|
.winapi|tool|Added by API Override tool
.wixburn|compiler|Wix section
.wpp_sf |compiler|section that is most likely related to WPP (Windows software trace PreProcessor)
.xdata|compiler|Exception Information Section
.xm|demos|possibly an XM module
.y0da|protector|Y0da's Protector
.yP|protector|Y0da's Protector
ASPack|packer|Aspack
AUTO|demos|
Address|demos|
BSS|compiler|Uninitialized Data Section (Borland)
BitArts|protector|Crunch 2.0
CLS|demos|
CODE32|demos|
CODE|compiler|Code Section (Borland)
COMMON|compiler|mingw/cygwin
CONST32|demos|
CPHb|demos|Coolphat group
CR01|demos|Cro group
CRO0|demos|Cro group
DAStub|protector|DAStub Dragon Armor
DATA|compiler|Data Section (Borland)
DGROUP|compiler|Legacy data group section
Guy !|demos|
INIT|compiler|INIT section (drivers)
MEW|packer|MEW
MYTH|demos|
Not War!|demos|
PAGE|compiler|PAGE section (drivers)
PEBundle|protector|PEBundle
PEC2MO|protector|PECompact
PEC2TO|PECompact|PECompact
PEC2|packer|PECompact
PELOCKnt|protector|PELock
PEPACK!!|packer|Pepack
PEPACK!!|packer|Pepack
PESHiELD|protector|PEShield
PS|demos|
ProCrypt|protector|ProCrypt
RCryptor|protector|RPCrypt
STACK|demos|
Scooopex|demos|Scoopex group
Scoopex|demos|Scoopex group
Shared|compiler|Shared section
Signatur|demos|
Themida|protector|Themida
UPX!|packer|UPX
UPX0|packer|UPX
UPX1|packer|UPX
UPX2|packer|UPX
UPX3|packer|UPX
VProtect|protector|Vprotect
WinLicen|protector|WinLicense (Themida)
Xiao|protector|12311134
_RDATA|demos|
